uid,City Quadrant,Ward,Household Income,Household Tenancy,Highest Obtained Education,Average Age,Living with Children,Member of Visible Minority,Gender,Average Quality of Life Rating (1-10),"Change in Quality of Life in Last 3 Years ( 1 = improved, 2 = no change, 3 = worsen)",Average Living in Calgary Rating (1-10),Average Life in Cangary Rating (1-10),Average Neighbourhood Safety Rating (1-4)
cCV86rbQ,Northwest,Ward 2,Don't Know,Own,Completed high school or less,51,No,No,Male,2,3,4,6,3
eGF36mtC,Southeast,Ward 12,Don't Know,Own,Some post secondary or college diploma,,No,Don't Know,Male,5,2,5,5,3
zER49koK,Southwest,Ward 13,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,54,Yes,No,Male,7,2,6,7,3
sPG36lkG,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,52,No,No,Male,8,3,8,8,4
fZL84ybY,Southwest,Ward 13,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Male,7,3,7,8,4
uSD76kkC,Southwest,Ward 14,"$45,000 to just under $60,000",Own,Completed high school or less,60,No,No,Male,8,3,4,5,4
rTA11kmO,Southeast,Ward 14,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,57,No,No,Male,8,2,7,8,4
tED39mkM,Southeast,Ward 11,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,74,No,No,Male,9,4,9,10,2
rAI87fyH,Southwest,Ward 11,"$45,000 to just under $60,000",Own,Completed high school or less,85,No,No,Female,7,3,6,8,3
jXC87kzQ,Southeast,Ward 14,Don't Know,Own,Completed university degree or post-grad degree,81,No,No,Male,7,2,8,8,4
sKF23ljL,Southeast,Ward 11,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,57,No,Yes,Female,5,3,2,2,2
jHG68icZ,Southwest,Ward 13,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,57,No,Yes,Female,5,3,6,6,3
xRG84afD,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,62,No,No,Male,7,3,8,8,4
uFJ86raU,Northwest,Ward 2,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,23,No,No,Male,7,3,1,8,3
lUW42vrD,Southwest,Ward 11,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,71,No,No,Male,9,2,10,10,4
sGL46tgH,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,66,No,No,Male,1,3,1,1,4
sSY70wjF,Southeast,Ward 14,"$45,000 to just under $60,000",Own,Completed high school or less,69,No,No,Male,7,2,9,9,3
